Name,"Global [1] (24/09/2021) - used fst.idx realsfs,no filter","Global [2] (24/09/2021) - used fst.idx realsfs,no filter","Averaged (24/09/2021) - used joined file, so. Filtered",Num_nonzero,Ave_nonzero,Num_zero,Global,Distance (number of steps)
TER.BOD,0.000001,-0.000068,-0.000209884,469985,0.0260485,1613304,0.005876479,1
TER.SAN,0.000015,-0.000022,-0.000116858,466107,0.026066,1602155,0.005874278,2
TER.CAP,-0.000003,-0.000281,-0.000221396,409252,0.0258266,1416873,0.005787987,3
TER.LOM,-0.000004,-0.000175,-0.00028183,451073,0.0259879,1571867,0.005794754,1
TER.KIB,-0.000002,-0.000014,-0.000186666,472229,0.0260677,1621212,0.005880234,2
TER.FOG,0.000034,-0.000487,-0.000301326,441955,0.0254018,1529356,0.005694917,4
FOG.KIB,0.000017,-0.000405,-0.000270373,486114,0.0259116,1623506,0.00597074,2
FOG.CAP,-0.000007,-0.000645,-0.000394932,421116,0.025036,1495938,0.005499616,1
FOG.BOD,0.000006,-0.000431,-0.000367519,488936,0.0258136,1615598,0.005997146,3
FOG.SAN,0.000026,-0.000394,-0.00022969,486769,0.0256314,1608319,0.005955154,6
FOG.LOM,0.000008,-0.000503,-0.000478753,474694,0.0257126,1612402,0.005848134,5
SAN.CAP,0.000008,-0.000217,-0.000155504,451725,0.0260073,1547265,0.005877042,5
SAN.BOD,0.000014,-0.000019,-0.000174234,513828,0.0262482,1645715,0.006245331,3
SAN.KIB,0.00002,0.000064,-0.000126639,515398,0.0262412,1652806,0.006237726,4
SAN.LOM,0.000012,-0.000058,-0.000196632,500884,0.0260749,1638699,0.006104227,1
LOM.CAP,-0.000007,-0.000284,-0.000243085,445558,0.0258224,1524903,0.005838926,4
LOM.KIB,0.000002,-0.000019,-0.000253485,500212,0.026251,1649318,0.006108808,3
LOM.BOD,-0.000004,-0.000081,-0.000269028,503715,0.0261498,1642012,0.006138734,2
CAP.KIB,-0.000004,-0.000245,-0.000296144,451438,0.0260289,1543084,0.005891354,1
CAP.BOD,-0.000006,-0.000275,-0.000276241,453472,0.0258684,1554789,0.005841171,2
BOD.KIB ,-0.000002,-0.000008,-0.000274729,519404,0.0261992,1658086,0.006249383,1